"Reference","Quantity","Value","Exclude from BOM","Footprint","Manufacture Part Number","LCSC Part Number"
"SW1,SW2,SW3","3","SW","","Button_Switch_SMD:SW_SPST_TS-1088-xR020","TS-1088-AR02016","C720477"
"R1,R4,R5","3","10kΩ","","Resistor_SMD:R_0805_2012Metric","FRC0805F1002TS","C2907219"
"C4,C5,C7","3","0.1uF","","Capacitor_SMD:C_0805_2012Metric","CL21B104KBCNNNC","C1711"
"R2,R3","2","5.1kΩ","","Resistor_SMD:R_0805_2012Metric","RC0805FR-075K1L","C84375"
"U4","1","USBLC6-2SC6","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","USBLC6-2SC6","C7519"
"U3","1","SN74LVC1T45DBV","","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","SN74LVC1T45DBVR","C7843"
"U2","1","AMS1117-3.3","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","AMS1117-3.3","C6186"
"U1","1","ESP32-S3-WROOM-1","","RF_Module:ESP32-S3-WROOM-1","ESP32-S3-WROOM-1-N16R8","C2913202"
"R6","1","50Ω","","Resistor_SMD:R_0805_2012Metric","ARG05FTC0500","C2828866"
"PRGM1","1","Conn_01x03","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","HX PH254-01-03-Z-L11.5 pcb pin header","C52016391"
"LEDS1","1","Conn_01x03","","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","B3B-XH-A(LF)(SN)","C144394"
"J2","1","USB_C_Receptacle_PowerOnly_6P","","usb-c:usb-c-vertical-smd","TYPE-C 6PLTH6.8-DJ","C5156600"
"D2","1","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","XL-2012SURC","C965812"
"D1","1","SMAJ5.0CA","","Diode_SMD:D_SMA","SMAJ5.0CA","C83324"
"C9","1","10uF","","Capacitor_SMD:C_0805_2012Metric","CL21A106KAYNNNE","C15850"
"C3","1","22uF","","Capacitor_SMD:C_0805_2012Metric","GRM21BR61E226ME44L","C86816"
"C2","1","1uF","","Capacitor_SMD:C_0805_2012Metric","CL21B105KBFNNNE","C28323"
